id,n_out_of_range_features,has_out_of_range,pct_features_out_of_range
87309e8c3ffffff,0,False,0.0
87309e8c4ffffff,5,True,0.043859649122807015
87309e8c5ffffff,10,True,0.08771929824561403
87309e8c6ffffff,3,True,0.02631578947368421
87309e8c8ffffff,4,True,0.03508771929824561
87309e8c9ffffff,23,True,0.20175438596491227
87309e8caffffff,3,True,0.02631578947368421
87309e8cbffffff,3,True,0.02631578947368421
87309e8ccffffff,1,True,0.008771929824561403
87309e8cdffffff,6,True,0.05263157894736842
87309e8ceffffff,5,True,0.043859649122807015
87309e8d0ffffff,11,True,0.09649122807017543
87309e8d1ffffff,2,True,0.017543859649122806
87309e8d2ffffff,0,False,0.0
87309e8d3ffffff,0,False,0.0
87309e8d4ffffff,1,True,0.008771929824561403
87309e8d5ffffff,2,True,0.017543859649122806
87309e8d6ffffff,3,True,0.02631578947368421
87309e8d8ffffff,2,True,0.017543859649122806
87309e8d9ffffff,2,True,0.017543859649122806
87309e8daffffff,1,True,0.008771929824561403
87309e8dbffffff,1,True,0.008771929824561403
87309e8dcffffff,1,True,0.008771929824561403
87309e8ddffffff,1,True,0.008771929824561403
87309e8deffffff,1,True,0.008771929824561403
87309e8e0ffffff,0,False,0.0
87309e8e1ffffff,0,False,0.0
87309e8e2ffffff,0,False,0.0
87309e8e3ffffff,1,True,0.008771929824561403
87309e8e8ffffff,2,True,0.017543859649122806
87309e8e9ffffff,2,True,0.017543859649122806
87309e8eaffffff,2,True,0.017543859649122806
87309e8ebffffff,6,True,0.05263157894736842
87309e8ecffffff,16,True,0.14035087719298245
87309e8edffffff,2,True,0.017543859649122806
87309e8eeffffff,2,True,0.017543859649122806
87309e8f1ffffff,3,True,0.02631578947368421
87309e8f2ffffff,0,False,0.0
87309e8f3ffffff,1,True,0.008771929824561403
87309ea00ffffff,3,True,0.02631578947368421
87309ea01ffffff,6,True,0.05263157894736842
87309ea02ffffff,3,True,0.02631578947368421
87309ea03ffffff,4,True,0.03508771929824561
87309ea04ffffff,4,True,0.03508771929824561
87309ea05ffffff,3,True,0.02631578947368421
87309ea06ffffff,9,True,0.07894736842105263
87309ea08ffffff,2,True,0.017543859649122806
87309ea0affffff,2,True,0.017543859649122806
87309ea0bffffff,5,True,0.043859649122807015
87309ea0effffff,6,True,0.05263157894736842
87309ea10ffffff,13,True,0.11403508771929824
87309ea11ffffff,11,True,0.09649122807017543
87309ea12ffffff,13,True,0.11403508771929824
87309ea13ffffff,8,True,0.07017543859649122
87309ea14ffffff,3,True,0.02631578947368421
87309ea15ffffff,3,True,0.02631578947368421
87309ea16ffffff,23,True,0.20175438596491227
87309ea18ffffff,1,True,0.008771929824561403
87309ea19ffffff,2,True,0.017543859649122806
87309ea1affffff,0,False,0.0
87309ea1bffffff,3,True,0.02631578947368421
87309ea1cffffff,9,True,0.07894736842105263
87309ea1dffffff,1,True,0.008771929824561403
87309ea1effffff,12,True,0.10526315789473684
87309ea30ffffff,0,False,0.0
87309ea31ffffff,4,True,0.03508771929824561
87309ea32ffffff,0,False,0.0
87309ea33ffffff,5,True,0.043859649122807015
87309ea34ffffff,0,False,0.0
87309ea36ffffff,1,True,0.008771929824561403
87309ea80ffffff,2,True,0.017543859649122806
87309ea81ffffff,1,True,0.008771929824561403
87309ea82ffffff,7,True,0.06140350877192982
87309ea83ffffff,6,True,0.05263157894736842
87309ea84ffffff,3,True,0.02631578947368421
87309ea85ffffff,3,True,0.02631578947368421
87309ea86ffffff,9,True,0.07894736842105263
87309ea88ffffff,0,False,0.0
87309ea89ffffff,3,True,0.02631578947368421
87309ea8affffff,3,True,0.02631578947368421
87309ea8bffffff,2,True,0.017543859649122806
87309ea8cffffff,8,True,0.07017543859649122
87309ea8dffffff,0,False,0.0
87309ea8effffff,3,True,0.02631578947368421
87309ea90ffffff,25,True,0.21929824561403508
87309ea91ffffff,9,True,0.07894736842105263
87309ea92ffffff,14,True,0.12280701754385964
87309ea93ffffff,6,True,0.05263157894736842
87309ea94ffffff,20,True,0.17543859649122806
87309ea95ffffff,18,True,0.15789473684210525
87309ea96ffffff,27,True,0.23684210526315788
87309ea98ffffff,17,True,0.14912280701754385
87309ea99ffffff,2,True,0.017543859649122806
87309ea9affffff,1,True,0.008771929824561403
87309ea9bffffff,3,True,0.02631578947368421
87309ea9cffffff,12,True,0.10526315789473684
87309ea9dffffff,2,True,0.017543859649122806
87309ea9effffff,1,True,0.008771929824561403
87309eaa0ffffff,5,True,0.043859649122807015
87309eaa1ffffff,0,False,0.0
87309eaa2ffffff,17,True,0.14912280701754385
87309eaa3ffffff,10,True,0.08771929824561403
87309eaa4ffffff,4,True,0.03508771929824561
87309eaa5ffffff,7,True,0.06140350877192982
87309eaa6ffffff,3,True,0.02631578947368421
87309eaa8ffffff,1,True,0.008771929824561403
87309eaa9ffffff,4,True,0.03508771929824561
87309eaaaffffff,3,True,0.02631578947368421
87309eaabffffff,12,True,0.10526315789473684
87309eaacffffff,3,True,0.02631578947368421
87309eaadffffff,4,True,0.03508771929824561
87309eaaeffffff,6,True,0.05263157894736842
87309eab0ffffff,6,True,0.05263157894736842
87309eab1ffffff,2,True,0.017543859649122806
87309eab2ffffff,14,True,0.12280701754385964
87309eab3ffffff,6,True,0.05263157894736842
87309eab4ffffff,8,True,0.07017543859649122
87309eab5ffffff,1,True,0.008771929824561403
87309eab6ffffff,10,True,0.08771929824561403
87309eac4ffffff,3,True,0.02631578947368421
87309eac6ffffff,0,False,0.0
87309ead0ffffff,0,False,0.0
87309ead2ffffff,0,False,0.0
87309ead3ffffff,0,False,0.0
87309ead4ffffff,1,True,0.008771929824561403
87309ead5ffffff,0,False,0.0
87309ead6ffffff,0,False,0.0
87309eadaffffff,0,False,0.0
87309eae0ffffff,2,True,0.017543859649122806
87309eae2ffffff,5,True,0.043859649122807015
87309eae4ffffff,3,True,0.02631578947368421
87309eae5ffffff,1,True,0.008771929824561403
87309eae6ffffff,3,True,0.02631578947368421
87309eaf0ffffff,4,True,0.03508771929824561
87309eaf1ffffff,2,True,0.017543859649122806
87309eaf2ffffff,7,True,0.06140350877192982
87309eaf3ffffff,2,True,0.017543859649122806
87309eaf4ffffff,0,False,0.0
87309eaf5ffffff,19,True,0.16666666666666666
87309eaf6ffffff,5,True,0.043859649122807015
87309eb80ffffff,0,False,0.0
87309eb81ffffff,0,False,0.0
87309eb82ffffff,0,False,0.0
87309eb83ffffff,0,False,0.0
87309eb84ffffff,0,False,0.0
87309eb85ffffff,0,False,0.0
87309eb86ffffff,0,False,0.0
87309eb88ffffff,6,True,0.05263157894736842
87309eb89ffffff,4,True,0.03508771929824561
87309eb8affffff,2,True,0.017543859649122806
87309eb8bffffff,1,True,0.008771929824561403
87309eb8cffffff,0,False,0.0
87309eb8dffffff,0,False,0.0
87309eb8effffff,2,True,0.017543859649122806
87309eb90ffffff,0,False,0.0
87309eb91ffffff,0,False,0.0
87309eb92ffffff,9,True,0.07894736842105263
87309eb93ffffff,3,True,0.02631578947368421
87309eb94ffffff,8,True,0.07017543859649122
87309eb95ffffff,0,False,0.0
87309eb96ffffff,7,True,0.06140350877192982
87309eb98ffffff,16,True,0.14035087719298245
87309eb99ffffff,4,True,0.03508771929824561
87309eb9affffff,8,True,0.07017543859649122
87309eb9bffffff,13,True,0.11403508771929824
87309eb9cffffff,0,False,0.0
87309eb9dffffff,4,True,0.03508771929824561
87309eb9effffff,3,True,0.02631578947368421
87309eba2ffffff,1,True,0.008771929824561403
87309eba3ffffff,0,False,0.0
87309ebaaffffff,0,False,0.0
87309ebb0ffffff,4,True,0.03508771929824561
87309ebb1ffffff,0,False,0.0
87309ebb2ffffff,14,True,0.12280701754385964
87309ebb3ffffff,1,True,0.008771929824561403
87309ebb4ffffff,3,True,0.02631578947368421
87309ebb5ffffff,9,True,0.07894736842105263
87309ebb6ffffff,2,True,0.017543859649122806
